负责人	学校名称	世界排名	学院	专业名称	学制	总学费（当地货币）	申请起止日	语言要求	是否需要GRE	是否有面试	是否要作品集/writing sample/essay
				社会工作硕士	两年	369，600港币	10.3~11.3 11.4~次年2.23	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				教育心理学社会科学硕士	两年	448，000港币	11.8~次年1.23	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				社会数据分析社会科学硕士	一年	262，5000港币	10.8~11.16 11.17~次年1.5 次年1.6~次年3.2	雅思：总分6，小分5.5 托福：总分80	否	有	
				地理空间数据科学硕士	一年	250，000港币	11.10~次年3.31	雅思：总分6，小分5.5 托福：总分80	否	有	
				新闻学硕士--纪录片制作方向	一年	313，200港币	11.15~次年2.27	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				社会学社会科学硕士	一年	210，000港币	10.20~11.14 11.15~次年1.30	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				人口与政策分析领域社会科学硕士	一年	250，000港币	10.10~11.28 11.29~次年1.16  次年1.17~次年2.27	雅思：总分6，小分5.5 托福：总分80	否	有	
				老年学社会科学硕士	一年	231，840港币	10.15~12.2 12.3~次年1.26 次年1.27~次年3.19	雅思：总分6，小分5.5 托福：总分80	否	有	
			计算机与数据科学学院	数据科学硕士	一年半	339，840港币	10.6~12.1 12.2~次年3.31	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				统计学硕士	一年	238，000港币	10.6~12.1 12.2~次年3.31	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				计算机科学理学硕士	一年	334，800港币	10.9~12.1 12.2~次年3.31	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				电子商务和互联网计算理学硕士	一年	334，800港币	10.6~12.1 12.2~次年3.31	雅思：总分6，小分5.5 托福：总分80	否	有	
			香港大学商学院	会计学硕士	一年	426，000港币	7.2~7.25 7.26~10.3 10.4~12.12 12.13~次年2..23	雅思：总分6，小分5.5 托福：总分80	加分项，不强求	有	
				工商管理硕士	一年	558，000港币	9.9~11.28 11.29~12.30 12.31~次年2.6	雅思：总分6，小分5.5 托福：总分80	加分项，不强求	有	
				经济学硕士	一年	398，000港币	7.2~7.25 7.26~10.3 10.4~12.12 12.13~次年2..23	雅思：总分6，小分5.5 托福：总分80	加分项，不强求	录制视频	
				金融学硕士	一年	462，000港币	7.2~7.25 7.26~10.3 10.4~12.12 12.13~次年2..23	雅思：总分6，小分5.5 托福：总分80	加分项，不强求	录制视频	
